"gene","gene_symbol","character_major","character_minor","chromosome","start","end","locus_id","browse","isolation","objective","doi"
"OsIAA3","OsIAA3","Morphological trait","Culm leaf","12","25552003","25553559","Os12g0601400","-","Others","Crown root development. Gravitropism. Leaf blade length. Leaf formation.","10.1111/j.1365-313X.2006.02693.x"
"OsIAA3","OsIAA3","Morphological trait","Dwarf","12","25552003","25553559","Os12g0601400","-","Others","Crown root development. Gravitropism. Leaf blade length. Leaf formation.","10.1111/j.1365-313X.2006.02693.x"
"OsIAA3","OsIAA3","Morphological trait","Root","12","25552003","25553559","Os12g0601400","-","Others","Crown root development. Gravitropism. Leaf blade length. Leaf formation.","10.1111/j.1365-313X.2006.02693.x"
"iron deficiency-responsive cis-acting element1","IDEF1","Physiological trait","Germination dormancy","8","62575","66639","Os08g0101000","-","Others","Germination rate. Seedling growth.","10.1111/j.1365-313X.2011.04772.x"
"iron deficiency-responsive cis-acting element1","IDEF1","Morphological trait","Shoot seedling","8","62575","66639","Os08g0101000","-","Others","Germination rate. Seedling growth.","10.1111/j.1365-313X.2011.04772.x"
"Phospholipase Dα1","OsPLDα1","Resistance or Tolerance","Salinity tolerance","1","3723560","3728284","Os01g0172400","-","Knockdown","Salinity tolerance in suspension-cultured cells.","10.1111/j.1744-7909.2010.01021.x"
"Arabinoxylan feruloyl transferase","AFT","Others","Others","1","4527237","4531870","Os01g0185300","-","Knockdown","Ester-linked ferulate content in cell walls.","10.1007/s00425-009-1077-1"
"GA-enhanced gene1","OsGAE1","Morphological trait","Dwarf","1","5548631","5549983","Os01g0201600","-","Knockdown","Dwarfism. Gibberellin sensitivity.","10.1007/s11103-006-9030-1"
"OsMADS3","OsMADS3","Morphological trait","Panicle flower","1","5558512","5567904","Os01g0201700","-","Knockdown","Floral organ identity.","10.1023/A:1006051911291"
"S-Adenosyl-l-methionine synthetase3","OsSAMS3","Morphological trait","Dwarf","1","10705422","10708091","Os01g0293000","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"S-Adenosyl-l-methionine synthetase3","OsSAMS3","Physiological trait","Flowering","1","10705422","10708091","Os01g0293000","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"S-Adenosyl-l-methionine synthetase3","OsSAMS3","Physiological trait","Germination dormancy","1","10705422","10708091","Os01g0293000","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"S-Adenosyl-l-methionine synthetase3","OsSAMS3","Physiological trait","Sterility","1","10705422","10708091","Os01g0293000","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"S-Adenosyl-l-methionine synthetase2","OsSAMS2","Morphological trait","Dwarf","1","12506499","12508973","Os01g0323600","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"S-Adenosyl-l-methionine synthetase2","OsSAMS2","Physiological trait","Flowering","1","12506499","12508973","Os01g0323600","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"S-Adenosyl-l-methionine synthetase2","OsSAMS2","Physiological trait","Germination dormancy","1","12506499","12508973","Os01g0323600","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"S-Adenosyl-l-methionine synthetase2","OsSAMS2","Physiological trait","Sterility","1","12506499","12508973","Os01g0323600","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"ACC oxidase 7","OsACO7","Resistance or Tolerance","Blast resistance","1","24146341","24147812","Os01g0580500","-","Knockdown","Ethylene and Cyanide production. Resistance to blast fungus via restriction of fungal growth.","10.1104/pp.110.162412"
"respiratory burst oxidase homologsA","OsrbohA","Resistance or Tolerance","Other stress resistance","1","32386687","32390164","Os01g0734466","-","Knockdown","Reactive oxygen species production after treatment with flagellin in cultured cell.","10.5511/plantbiotechnology.22.127"
"Cyclin B1;1","Orysa;CycB1;1","Morphological trait","Seed","1","35905304","35908263","Os01g0805600","-","Knockdown","Endosperm formation. Embryo size.","10.1007/s00425-009-1051-y"
"NAM-ATAF-CUC family 4","OsNAC4","Resistance or Tolerance","Bacterial blight resistance","1","36448724","36450238","Os01g0816100","-","Knockdown","Bacterial blight resistance. HR cell death.","10.1038/emboj.2009.39"
"-","OsHAP3A","Physiological trait","Source activity","1","37512183","37514517","Os01g0834400","-","Knockdown","Chloroplast development.","10.1046/j.1365-313X.2003.01897.x"
"-","HDT702","Morphological trait","Culm leaf","1","41344121","41347086","Os01g0909100","-","Knockdown","Narrowed leaf. Dwarfism. Fertility.","10.1016/j.bbrc.2009.07.162"
"-","HDT702","Morphological trait","Dwarf","1","41344121","41347086","Os01g0909100","-","Knockdown","Narrowed leaf. Dwarfism. Fertility.","10.1016/j.bbrc.2009.07.162"
"-","HDT702","Physiological trait","Sterility","1","41344121","41347086","Os01g0909100","-","Knockdown","Narrowed leaf. Dwarfism. Fertility.","10.1016/j.bbrc.2009.07.162"
"Dicer-like 1","OsDCL1","Others","Others","1","41351529","41362074","Os01g0909200","-","Knockdown","Pleiotropic developmental defect. Developmental arrest during seedling stage.","10.1104/pp.105.063420"
"Dicer-like 1","OsDCL1","Morphological trait","Shoot seedling","1","41351529","41362074","Os01g0909200","-","Knockdown","Pleiotropic developmental defect. Developmental arrest during seedling stage.","10.1104/pp.105.063420"
"SET Domain Group Protein714","SDG714","Morphological trait","Culm leaf","1","42449035","42459242","Os01g0927000","-","Knockdown","Glabrous. DNA methylation.","10.1105/tpc.106.048124"
"rice tapetum-specific gene","rtS","Physiological trait","Sterility","1","42592739","42593372","Os01g0929600","-","Knockdown","Pollen development. Anther development.","10.1007/s11103-006-9031-0"
"&quot;Beta-1,3-glucanase 1&quot;","Osg1","Physiological trait","Sterility","1","43472730","43476650","Os01g0947700","-","Knockdown","Callose degradation during pollen development.","10.1007/s00425-010-1301-z"
"NITRIC OXIDE-ASSOCIATED1","NOA1","Physiological trait","Source activity","2","261405","265160","Os02g0104700","-","Knockdown","Chlorophyll and Rubisco level.","10.1371/journal.pone.0020015"
"NITRIC OXIDE ASSOCIATED PROTEIN1/","OsNOA1?RIF1","Physiological trait","Source activity","2","261405","265160","Os02g0104700","-","Knockdown","Photo system II efficiency. Chlorophyll content.","10.1111/j.1469-8137.2010.03264.x"
"4-Coumarate:coenzyme A ligase","Os4CL3","Morphological trait","Dwarf","2","4280496","4285927","Os02g0177600","-","Knockdown","Lignin content. Dwarfism. Culm length. Anther development.","10.1104/pp.111.178301"
"4-Coumarate:coenzyme A ligase","Os4CL3","Resistance or Tolerance","Lodging resistance","2","4280496","4285927","Os02g0177600","-","Knockdown","Lignin content. Dwarfism. Culm length. Anther development.","10.1104/pp.111.178301"
"4-Coumarate:coenzyme A ligase","Os4CL3","Physiological trait","Sterility","2","4280496","4285927","Os02g0177600","-","Knockdown","Lignin content. Dwarfism. Culm length. Anther development.","10.1104/pp.111.178301"
"Histone deacetylases 703","HDA703","Morphological trait","Panicle flower","2","6453555","6459620","Os02g0214900","-","Knockdown","Elongated uppermost internode. Fertility. Grain size. Awn development.","10.1016/j.bbrc.2009.07.162"
"Histone deacetylases 703","HDA703","Morphological trait","Seed","2","6453555","6459620","Os02g0214900","-","Knockdown","Elongated uppermost internode. Fertility. Grain size. Awn development.","10.1016/j.bbrc.2009.07.162"
"Histone deacetylases 703","HDA703","Physiological trait","Sterility","2","6453555","6459620","Os02g0214900","-","Knockdown","Elongated uppermost internode. Fertility. Grain size. Awn development.","10.1016/j.bbrc.2009.07.162"
"Histone deacetylases 710","HDA710","Morphological trait","Culm leaf","2","6476078","6482167","Os02g0215200","-","Knockdown","Flag leaf morphology. Semi-dwarf. Awn development.","10.1016/j.bbrc.2009.07.162"
"Histone deacetylases 710","HDA710","Morphological trait","Dwarf","2","6476078","6482167","Os02g0215200","-","Knockdown","Flag leaf morphology. Semi-dwarf. Awn development.","10.1016/j.bbrc.2009.07.162"
"Histone deacetylases 710","HDA710","Morphological trait","Panicle flower","2","6476078","6482167","Os02g0215200","-","Knockdown","Flag leaf morphology. Semi-dwarf. Awn development.","10.1016/j.bbrc.2009.07.162"
"prolamin box binding factor","RPBF","Physiological trait","Eating quality","2","8619286","8622771","Os02g0252400","-","Knockdown","Seed storage protein and starch content.","10.1111/j.1365-313X.2009.03925.x"
"down-regulated genes in CW-CMS 11","DCW11","Physiological trait","Sterility","2","8789018","8795267","Os02g0255100","-","Knockdown","Cytoplasmic male sterility. Pollen development.","10.1093/pcp/pcn036"
"Histidine- and alanine-rich protein","OsHARP","Morphological trait","Dwarf","2","8871946","8873247","Os02g0256200","-","Knockdown","Dwarfism.","10.1007/s00726-008-0043-8"
"Golgi localized monosaccharide transporter1","OsGMST1","Resistance or Tolerance","Salinity tolerance","2","10103579","10110496","Os02g0274900","-","Knockdown","Salinity tolerance.","10.1093/jxb/err178"
"-","OsTudor-SN","Physiological trait","Eating quality","2","19956716","19963395","Os02g0523500","-","Knockdown","Seed prolamine content.","10.1111/j.1365-313X.2008.03516.x"
"-","RAR1","Resistance or Tolerance","Bacterial blight resistance","2","20584982","20587748","Os02g0535400","-","Knockdown","Resistance to Xanthomonas oryzae and Magnaporthe grisea.","10.1105/tpc.107.055517"
"-","RAR1","Resistance or Tolerance","Blast resistance","2","20584982","20587748","Os02g0535400","-","Knockdown","Resistance to Xanthomonas oryzae and Magnaporthe grisea.","10.1105/tpc.107.055517"
"-","GF14e","Resistance or Tolerance","Bacterial blight resistance","2","23191143","23195537","Os02g0580300","-","Knockdown","Resistance to Xanthomonas oryzae pv. oryzae. Lesion mimic.","10.1111/j.1365-313X.2011.04728.x"
"-","OsNAR2.1","Resistance or Tolerance","Other stress resistance","2","23979002","23981010","Os02g0595900","-","Knockdown","Nitrogen uptake.","10.1111/j.1365-3040.2011.02335.x"
"Casein Kinase I","OsCKI1","Morphological trait","Root","2","25624670","25630611","Os02g0622100","-","Knockdown","Root length. Lateral root development.","10.1046/j.1365-313X.2003.01866.x"
"cryptochrome2","Oscry2","Physiological trait","Flowering","2","25802722","25808944","Os02g0625000","-","Knockdown","Blue light mediated de-etiolation and seedling growth. Flowering time independent of daylength .","10.1093/pcp/pcj064"
"cryptochrome2","Oscry2","Morphological trait","Shoot seedling","2","25802722","25808944","Os02g0625000","-","Knockdown","Blue light mediated de-etiolation and seedling growth. Flowering time independent of daylength .","10.1093/pcp/pcj064"
"yellow stripe 1 like 15","OsYSL15","Physiological trait","Germination dormancy","2","27086997","27091329","Os02g0650300","-","Knockdown","Fe uptake. Sensitivity to Fe during germination and seedling stage.","10.1074/jbc.M806042200"
"yellow stripe 1 like 15","OsYSL15","Resistance or Tolerance","Other soil stress tolerance","2","27086997","27091329","Os02g0650300","-","Knockdown","Fe uptake. Sensitivity to Fe during germination and seedling stage.","10.1074/jbc.M806042200"
"SG1-Like protein 1","SGL1","Morphological trait","Culm leaf","2","33005871","33007658","Os02g0762600","-","Knockdown","Culm and rachis internode elongation. Seed development. Cell proliferation. Leaf angle. Brassinolide sensitivity.","10.1104/pp.111.187567"
"SG1-Like protein 1","SGL1","Morphological trait","Dwarf","2","33005871","33007658","Os02g0762600","-","Knockdown","Culm and rachis internode elongation. Seed development. Cell proliferation. Leaf angle. Brassinolide sensitivity.","10.1104/pp.111.187567"
"SG1-Like protein 1","SGL1","Morphological trait","Panicle flower","2","33005871","33007658","Os02g0762600","-","Knockdown","Culm and rachis internode elongation. Seed development. Cell proliferation. Leaf angle. Brassinolide sensitivity.","10.1104/pp.111.187567"
"SG1-Like protein 1","SGL1","Morphological trait","Seed","2","33005871","33007658","Os02g0762600","-","Knockdown","Culm and rachis internode elongation. Seed development. Cell proliferation. Leaf angle. Brassinolide sensitivity.","10.1104/pp.111.187567"
"-","CEBiP","Resistance or Tolerance","Blast resistance","3","1857247","1860045","Os03g0133400","-","Knockdown","Resistance to Magnaporthe oryzae.","10.1111/j.1365-313X.2010.04328.x"
"Pheophorbide a oxygenase","OsPAO","Others","Others","3","2554945","2558741","Os03g0146400","-","Knockdown","Lesion mimic. Leaf senescence.","10.1016/j.jplph.2011.05.026"
"Pheophorbide a oxygenase","OsPAO","Physiological trait","Source activity","3","2554945","2558741","Os03g0146400","-","Knockdown","Lesion mimic. Leaf senescence.","10.1016/j.jplph.2011.05.026"
"phosphate transporter2","OsPT2","Resistance or Tolerance","Other soil stress tolerance","3","2793838","2795658","Os03g0150800","-","Knockdown","Phosphate uptake and translocation.","10.1111/j.1365-313X.2008.03726.x"
"Sucrose transporter 1","OsSUT1","Morphological trait","Dwarf","3","3776031","3782468","Os03g0170900","-","Knockdown","Dwarfism. Flowering time. ","10.1093/pcp/pce148"
"Sucrose transporter 1","OsSUT1","Physiological trait","Flowering","3","3776031","3782468","Os03g0170900","-","Knockdown","Dwarfism. Flowering time. ","10.1093/pcp/pce148"
"Sucrose transporter 1","OsSUT1","Resistance or Tolerance","Salinity tolerance","3","3776031","3782468","Os03g0170900","-","Knockdown","Salinity tolerance.","10.1016/j.plantsci.2011.01.001"
"bHLH protein-73","OsBP-73","Morphological trait","Dwarf","3","4334965","4341555","Os03g0183100","-","Knockdown","Dwarfism.","10.1023/A:1024854101965"
"MADSdomain-containing protein 1","OsMDP1","Morphological trait","Culm leaf","3","4497741","4504095","Os03g0186600","-","Knockdown","Primary root elongation. Coleoptile elongation. Leaf angle. Brassinosteroid sensitivity.","10.1111/j.1365-313X.2006.02804.x"
"MADSdomain-containing protein 1","OsMDP1","Morphological trait","Root","3","4497741","4504095","Os03g0186600","-","Knockdown","Primary root elongation. Coleoptile elongation. Leaf angle. Brassinosteroid sensitivity.","10.1111/j.1365-313X.2006.02804.x"
"MADSdomain-containing protein 1","OsMDP1","Morphological trait","Shoot seedling","3","4497741","4504095","Os03g0186600","-","Knockdown","Primary root elongation. Coleoptile elongation. Leaf angle. Brassinosteroid sensitivity.","10.1111/j.1365-313X.2006.02804.x"
"rice myo -inositol 3-phosphate synthase 1","RINO1","Physiological trait","Eating quality","3","4804030","4808013","Os03g0192700","-","Knockdown","Seed phytic acid content.","10.1093/pcp/pcp071"
"rice Ins(3)P1 synthase1","RINO1","Physiological trait","Eating quality","3","4804030","4808013","Os03g0192700","-","Knockdown","Seed phytic acid content.","10.1111/j.1467-7652.2008.00375.x"
"OsMADS1","OsMADS1","Morphological trait","Panicle flower","3","6080181","6088701","Os03g0215400","-","Knockdown","Floral organ formation.","10.1111/j.1365-313X.2009.04101.x"
"NODULATION SIGNALING PATHWAY2","NSP2","Morphological trait","Culm leaf","3","8699495","8701222","LOC_Os03g15680","-","Knockdown","Striga resistance. Regulation of strigolactone biosynthesis.","10.1105/tpc.111.089771"
"NODULATION SIGNALING PATHWAY2","NSP2","Resistance or Tolerance","Other stress resistance","3","8699495","8701222","LOC_Os03g15680","-","Knockdown","Striga resistance. Regulation of strigolactone biosynthesis.","10.1105/tpc.111.089771"
"Ascorbate peroxidase 1","OsApx1","Morphological trait","Dwarf","3","9893991","9897377","Os03g0285700","-","Knockdown","Aluminium tolerance. Dwarfism.","10.1016/j.phytochem.2010.01.003"
"Ascorbate peroxidase 1","OsApx1","Resistance or Tolerance","Other soil stress tolerance","3","9893991","9897377","Os03g0285700","-","Knockdown","Aluminium tolerance. Dwarfism.","10.1016/j.phytochem.2010.01.003"
"ascorbate peroxidase1","APx1","Resistance or Tolerance","Other stress resistance","3","9893991","9897377","Os03g0285700","-","Knockdown","Oxidative stress resistance.","10.1111/j.1365-3040.2011.02366.x"
"fatty acid desaturase7","OsFAD7","Resistance or Tolerance","Blast resistance","3","10130997","10133342","Os03g0290300","-","Knockdown","Resistance to Magnaporthe grisea.","10.1093/pcp/pcm107"
"NODULATION SIGNALING PATHWAY1","NSP1","Morphological trait","Culm leaf","3","17436298","17437869","LOC_Os03g29480","-","Knockdown","Striga resistance. Regulation of strigolactone biosynthesis.","10.1105/tpc.111.089771"
"NODULATION SIGNALING PATHWAY1","NSP1","Resistance or Tolerance","Other stress resistance","3","17436298","17437869","LOC_Os03g29480","-","Knockdown","Striga resistance. Regulation of strigolactone biosynthesis.","10.1105/tpc.111.089771"
"G protein βsubunit1","RGB1","Morphological trait","Culm leaf","3","27156809","27157888","Os03g0669100","-","Knockdown","Dwarfism. Node and lamina joint color. Grain size. Fertility.","10.1111/j.1365-313X.2011.04643.x"
"G protein βsubunit1","RGB1","Morphological trait","Dwarf","3","27156809","27157888","Os03g0669100","-","Knockdown","Dwarfism. Node and lamina joint color. Grain size. Fertility.","10.1111/j.1365-313X.2011.04643.x"
"G protein βsubunit1","RGB1","Morphological trait","Seed","3","27156809","27157888","Os03g0669100","-","Knockdown","Dwarfism. Node and lamina joint color. Grain size. Fertility.","10.1111/j.1365-313X.2011.04643.x"
"G protein βsubunit1","RGB1","Physiological trait","Sterility","3","27156809","27157888","Os03g0669100","-","Knockdown","Dwarfism. Node and lamina joint color. Grain size. Fertility.","10.1111/j.1365-313X.2011.04643.x"
"phosphatidylinositol 4-phosphate 5-kinase 1","OsPIPK1","Physiological trait","Flowering","3","28941973","28946534","Os03g0701800","-","Knockdown","Flowering time.","10.1023/B:PLAN.0000028796.14336.24"
"-","ero1","Physiological trait","Eating quality","3","30825494","30829356","Os03g0733800","-","Knockdown","Seed storage protein. Disulfide bond formation in endosperm.","10.1073/pnas.0904429106"
"-","OsSPO11-1","Physiological trait","Sterility","3","31773181","31776890","Os03g0752200","-","Knockdown","Germ cell development. Homologous pairing.","10.1007/s00412-010-0284-7"
"cysteine-rich 10 kDa molecular species","CysR10","Physiological trait","Eating quality","3","32576667","32583750","Os03g0766000","-","Knockdown","Protein body formation in seed.","10.1093/pcp/pcr053"
"glycolate oxidase 1","OsGLO1","Physiological trait","Source activity","3","33479224","33483170","Os03g0786100","-","Knockdown","Photorespiration.","10.1093/jxb/erp056"
"Methyltransferase 1","OsMet1","Others","Others","3","34129617","34131861","Os03g0798300","-","Knockdown","DNA methylation.","10.1111/j.1365-313X.2008.03624.x"
"cytochrome P450 A3","CYP99A3","Resistance or Tolerance","Other stress resistance","4","5324713","5326858","Os04g0178400","-","Knockdown","Production phytoalexins and allelochemicals.","10.1111/j.1365-313X.2010.04408.x"
"cytochrome P450 A2","CYP99A2","Resistance or Tolerance","Other stress resistance","4","5477147","5479152","Os04g0180400","-","Knockdown","Production phytoalexins and allelochemicals.","10.1111/j.1365-313X.2010.04408.x"
"tillering 1","Ostil1","Morphological trait","Dwarf","4","23393093","23395163","Os04g0460600","-","Knockdown","Dwarfism. Tillering. Tiller angle.","10.1111/j.1469-8137.2007.02177.x"
"Phospholipid Binding Protein1","OsPBP1","Physiological trait","Sterility","4","26957388","26959858","Os04g0531100","-","Knockdown","Pollen germination.","10.1093/mp/ssn035"
"YABBY 3","YAB3","Morphological trait","Culm leaf","4","27104144","27106702","Os04g0536300","-","Knockdown","Ligule and auricle formation. Leaf morphology.","10.1104/pp.107.095737"
"ACC synthase2","OsACS2","Resistance or Tolerance","Blast resistance","4","29530386","29533185","Os04g0578000","-","Knockdown","Ethylene and Cyanide production. Resistance to blast fungus via restriction of fungal growth.","10.1104/pp.110.162412"
"Rubisco Activase","rca","Physiological trait","Source activity","4","33973682","33978183","Os04g0658300","-","Knockdown","Rubisco activity.","10.1093/aob/mcl025"
"root meander curling","OsRMC","Morphological trait","Root","4","34039824","34040854","Os04g0659300","-","Knockdown","Root coiling. Number of crown root and lateral root. JA sensitivity.","10.1111/j.1365-3040.2007.01663.x"
"metallothionein2b","OsMT2b","Morphological trait","Dwarf","5","583802","584910","Os05g0111300","-","Knockdown","Dwarfism. Crown root formation. Lateral root size. Regulation of cytokinin biosynthesis.","10.1104/pp.107.110304"
"XA21 Binding Protein 3","XB3","Resistance or Tolerance","Bacterial blight resistance","5","617592","621358","Os05g0112000","-","Knockdown","Resistance to Xanthomonas oryzae pv. oryzae.","10.1105/tpc.106.046730"
"sensitive to Al rhizotoxicity2","STAR2","Resistance or Tolerance","Other soil stress tolerance","5","967668","969310","Os05g0119000","-","Knockdown","Aluminium tolerance.","10.1105/tpc.108.064543"
"S-Adenosyl-l-methionine synthetase1","OsSAMS1","Morphological trait","Dwarf","5","2067076","2070017","Os05g0135700","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"S-Adenosyl-l-methionine synthetase1","OsSAMS1","Physiological trait","Flowering","5","2067076","2070017","Os05g0135700","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"S-Adenosyl-l-methionine synthetase1","OsSAMS1","Physiological trait","Germination dormancy","5","2067076","2070017","Os05g0135700","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"S-Adenosyl-l-methionine synthetase1","OsSAMS1","Physiological trait","Sterility","5","2067076","2070017","Os05g0135700","-","Knockdown","Dwarfism. Fertility. Germination rate. Flowering time.","10.1016/j.jplph.2011.05.020"
"ACC oxidase5","OsACO5","Resistance or Tolerance","Blast resistance","5","2803370","2804958","Os05g0149400","-","Knockdown","Ethylene and Cyanide production. Resistance to blast fungus via restriction of fungal growth.","10.1104/pp.110.162412"
"Arabinoxylan feruloyl transferase","AFT","Others","Others","5","4715783","4717769","Os05g0179300","-","Knockdown","Ester-linked ferulate content in cell walls.","10.1007/s00425-009-1077-1"
"BL-enhanced 3","OsBLE3","Morphological trait","Culm leaf","5","8857725","8859663","Os05g0245300","-","Knockdown","Internode elongation. Cell elongation. Leaf angle. Brassinosteroid sensitivity.","10.1016/j.phytochem.2006.05.026"
"BL-enhanced 3","OsBLE3","Morphological trait","Dwarf","5","8857725","8859663","Os05g0245300","-","Knockdown","Internode elongation. Cell elongation. Leaf angle. Brassinosteroid sensitivity.","10.1016/j.phytochem.2006.05.026"
"OsMADS4","OsMADS4","Morphological trait","Panicle flower","5","20766299","20768638","Os05g0423400","-","Knockdown","Floral organ identity.","10.1023/A:1006051911291"
"iron deficiency-responsive cis-acting element2","IDEF2","Resistance or Tolerance","Other soil stress tolerance","5","20887132","20891253","Os05g0426200","-","Knockdown","Fe homeostais.","10.1074/jbc.M708732200"
"-","OsHAP3B","Physiological trait","Source activity","5","22815905","22819893","Os05g0463800","-","Knockdown","Chloroplast development.","10.1046/j.1365-313X.2003.01897.x"
"-","OsHAP3C","Physiological trait","Source activity","5","28654041","28656737","Os05g0573500","-","Knockdown","Chloroplast development.","10.1046/j.1365-313X.2003.01897.x"
"OsRAD21-4","OsRAD21-4","Physiological trait","Sterility","5","28971122","28978572","Os05g0580500","-","Knockdown","Germ cell development. Meiosis.","10.1007/s11103-005-4922-z"
"Mitogen-activated protein kinase6","OsMAPK6","Others","Others","6","2805544","2812003","Os06g0154500","-","Knockdown","Regulation of stress response genes.","10.1104/pp.104.057414"
"RICE FLOWERING LOCUS T 1","RFT1","Physiological trait","Flowering","6","2925824","2927475","Os06g0157500","-","Knockdown","Flowering time under long day condition.","10.1242/dev.040170"
"OsMADS5","OsMADS5","Morphological trait","Panicle flower","6","3161804","3168332","Os06g0162800","-","Knockdown","Floral organ formation.","10.1111/j.1365-313X.2009.04101.x"
"Soluble starch synthase IIa","SSIIa","Physiological trait","Eating quality","6","6747359","6752337","Os06g0229800","-","Knockdown","Chalky kernel. Amylose content.","10.1139/g11-010"
"gibberellin-stimulated protein1","OsGSR1","Morphological trait","Culm leaf","6","8847044","8847830","Os06g0266800","-","Knockdown","Dwarfism. Primary root elongation. Leaf angle. Fertility. Brassinosteroid homeostasis. Gibberellin sensitivity.","10.1111/j.1365-313X.2008.03707.x"
"gibberellin-stimulated protein1","OsGSR1","Morphological trait","Dwarf","6","8847044","8847830","Os06g0266800","-","Knockdown","Dwarfism. Primary root elongation. Leaf angle. Fertility. Brassinosteroid homeostasis. Gibberellin sensitivity.","10.1111/j.1365-313X.2008.03707.x"
"gibberellin-stimulated protein1","OsGSR1","Morphological trait","Root","6","8847044","8847830","Os06g0266800","-","Knockdown","Dwarfism. Primary root elongation. Leaf angle. Fertility. Brassinosteroid homeostasis. Gibberellin sensitivity.","10.1111/j.1365-313X.2008.03707.x"
"gibberellin-stimulated protein1","OsGSR1","Physiological trait","Sterility","6","8847044","8847830","Os06g0266800","-","Knockdown","Dwarfism. Primary root elongation. Leaf angle. Fertility. Brassinosteroid homeostasis. Gibberellin sensitivity.","10.1111/j.1365-313X.2008.03707.x"
